Time, 5.933276, Position, (-1.74, 0.00, -20.57), Velocity, 1816.007, Acceleration, -40406.63, AngleX, -0.05536866, AngleY, 87.27694, AngleZ, 91.16397
Time, 6.034852, Position, (-1.72, 0.01, -20.16), Velocity, 1704.51, Acceleration, 59613.63, AngleX, -0.06152045, AngleY, 87.27662, AngleZ, 91.2931
Time, 6.135974, Position, (-1.70, 0.00, -19.76), Velocity, 1525.709, Acceleration, -34557.25, AngleX, -0.06348794, AngleY, 87.27696, AngleZ, 91.33462
Time, 6.238075, Position, (-1.68, 0.00, -19.35), Velocity, 1280.859, Acceleration, -35337.5, AngleX, -0.0703591, AngleY, 87.27654, AngleZ, 91.47877
Time, 6.33917, Position, (-1.66, 0.01, -18.95), Velocity, 1146.927, Acceleration, -36883.37, AngleX, -0.0839647, AngleY, 87.27668, AngleZ, 91.76464
Time, 6.441286, Position, (-1.64, 0.00, -18.54), Velocity, 1085.243, Acceleration, 29204.48, AngleX, -0.09189171, AngleY, 87.27652, AngleZ, 91.93101
Time, 6.541297, Position, (-1.63, 0.00, -18.14), Velocity, 990.3784, Acceleration, 26036.7, AngleX, -0.1082534, AngleY, 87.27627, AngleZ, 92.27428
Time, 6.643617, Position, (-1.61, 0.01, -17.73), Velocity, 744.7714, Acceleration, -22959.76, AngleX, -0.1286272, AngleY, 87.27676, AngleZ, 92.70222
Time, 6.743915, Position, (-1.59, 0.00, -17.33), Velocity, 574.1695, Acceleration, -34420.28, AngleX, -0.1503824, AngleY, 87.27667, AngleZ, 93.1583
Time, 6.8454, Position, (-1.57, 0.00, -16.92), Velocity, 466.4228, Acceleration, -19421.55, AngleX, -0.1956655, AngleY, 87.27695, AngleZ, 94.10688
Time, 6.945538, Position, (-1.55, 0.01, -16.52), Velocity, 333.8273, Acceleration, -18371.05, AngleX, -0.2878484, AngleY, 87.27659, AngleZ, 96.02896
Time, 7.046662, Position, (-1.53, 0.00, -16.12), Velocity, 235.6243, Acceleration, 5712.769, AngleX, -0.4243168, AngleY, 87.27678, AngleZ, 98.84988
Time, 7.146815, Position, (-1.51, 0.00, -15.72), Velocity, 82.02026, Acceleration, 1104.484, AngleX, -0.9694852, AngleY, 87.27674, AngleZ, 109.5839
Time, 7.247558, Position, (-1.50, 0.00, -15.32), Velocity, 301.0541, Acceleration, 9307.901, AngleX, -0.2230347, AngleY, 90.00062, AngleZ, -179.842
Time, 7.347924, Position, (-1.50, 0.01, -14.92), Velocity, 146.5685, Acceleration, -1275.413, AngleX, -0.6787992, AngleY, 89.99942, AngleZ, 179.9515
Time, 7.448193, Position, (-1.50, 0.00, -14.52), Velocity, 12.07132, Acceleration, -1025, AngleX, -2.692994, AngleY, 89.98777, AngleZ, 179.74
Time, 7.549986, Position, (-1.23, 0.01, -14.23), Velocity, 378.587, Acceleration, -1047.19, AngleX, -0.4625836, AngleY, 44.99738, AngleZ, 90.46255
Time, 7.650588, Position, (-0.95, 0.01, -13.95), Velocity, 238.4524, Acceleration, -463.0658, AngleX, -1.010065, AngleY, 44.99552, AngleZ, 91.00991
Time, 7.752433, Position, (-0.66, 0.00, -13.66), Velocity, 86.34569, Acceleration, -2478.042, AngleX, -1.657072, AngleY, 44.99159, AngleZ, 91.65659
Time, 7.853964, Position, (-0.50, 0.00, -13.32), Velocity, 280.2278, Acceleration, -5137.671, AngleX, -0.1452162, AngleY, 89.98993, AngleZ, 176.0321
Time, 7.954579, Position, (-0.50, 0.00, -12.92), Velocity, 146.251, Acceleration, -4238.197, AngleX, -0.4469421, AngleY, 89.98981, AngleZ, 178.6939
Time, 8.056899, Position, (-0.50, 0.00, -12.51), Velocity, 6.693569, Acceleration, -1254.085, AngleX, -1.825066, AngleY, 89.98071, AngleZ, 179.3945
Time, 8.158178, Position, (-0.22, 0.00, -12.22), Velocity, 377.6916, Acceleration, 20106.2, AngleX, -0.3128855, AngleY, 45.00016, AngleZ, 90.31289
Time, 8.258696, Position, (0.06, 0.01, -11.94), Velocity, 227.3052, Acceleration, -334.6489, AngleX, -0.801981, AngleY, 44.99985, AngleZ, 90.80198
Time, 8.361378, Position, (0.35, 0.01, -11.65), Velocity, 73.06583, Acceleration, -1514.495, AngleX, -2.122114, AngleY, 44.99804, AngleZ, 92.12197
Time, 8.46314, Position, (0.63, 0.01, -11.36), Velocity, 4904.022, Acceleration, -226135.6, AngleX, -0.02676336, AngleY, 47.72767, AngleZ, 90.02944
Time, 8.56341, Position, (0.90, 0.01, -11.06), Velocity, 4836.271, Acceleration, -171168.9, AngleX, -0.04379559, AngleY, 47.72668, AngleZ, 90.04818
Time, 8.665011, Position, (1.17, 0.01, -10.76), Velocity, 4450.284, Acceleration, -209290.4, AngleX, -0.03442566, AngleY, 47.72528, AngleZ, 90.03787
Time, 8.767108, Position, (1.45, 0.00, -10.46), Velocity, 4896.896, Acceleration, 173359.8, AngleX, -0.02372458, AngleY, 47.72698, AngleZ, 90.0261
Time, 8.868936, Position, (1.72, 0.00, -10.16), Velocity, 3848.874, Acceleration, 163348.1, AngleX, -0.02590225, AngleY, 47.72553, AngleZ, 90.0285
Time, 8.969828, Position, (1.99, 0.00, -9.86), Velocity, 4079.204, Acceleration, -196629.6, AngleX, -0.02439263, AngleY, 47.72842, AngleZ, 90.02683
Time, 9.070722, Position, (2.26, 0.00, -9.56), Velocity, 3995.727, Acceleration, -233794.6, AngleX, -0.02899346, AngleY, 47.72624, AngleZ, 90.03189
Time, 9.173043, Position, (2.54, 0.00, -9.26), Velocity, 3834.727, Acceleration, -70488.28, AngleX, -0.0293334, AngleY, 47.73026, AngleZ, 90.03227
Time, 9.273925, Position, (2.81, 0.00, -8.96), Velocity, 4246.215, Acceleration, 56550.63, AngleX, -0.03064661, AngleY, 47.7316, AngleZ, 90.03371
Time, 9.375541, Position, (3.09, 0.00, -8.66), Velocity, 4128.752, Acceleration, 102400.3, AngleX, -0.03177993, AngleY, 47.73473, AngleZ, 90.03497
Time, 9.478095, Position, (3.36, 0.00, -8.35), Velocity, 3993.412, Acceleration, 54966.84, AngleX, -0.03043968, AngleY, 47.73909, AngleZ, 90.0335
Time, 9.580146, Position, (3.64, 0.00, -8.05), Velocity, 3860.638, Acceleration, 9451.882, AngleX, -0.03366918, AngleY, 47.73951, AngleZ, 90.03706
Time, 9.681781, Position, (3.91, 0.00, -7.75), Velocity, 3580.593, Acceleration, -53034.79, AngleX, -0.0374171, AngleY, 47.74049, AngleZ, 90.04118
Time, 9.784652, Position, (4.19, 0.01, -7.45), Velocity, 2980.549, Acceleration, -191988.2, AngleX, -0.04390256, AngleY, 47.74132, AngleZ, 90.04832
Time, 9.887239, Position, (4.46, 0.01, -7.14), Velocity, 2833.275, Acceleration, -33540.23, AngleX, -0.04453783, AngleY, 47.74225, AngleZ, 90.04902
Time, 9.988286, Position, (4.74, 0.01, -6.84), Velocity, 2813.111, Acceleration, -26480.76, AngleX, -0.04525694, AngleY, 47.74198, AngleZ, 90.04981
Time, 10.0899, Position, (5.01, 0.01, -6.54), Velocity, 2893.006, Acceleration, 291769.8, AngleX, -0.04889899, AngleY, 47.74046, AngleZ, 90.05382
Time, 10.19147, Position, (5.28, 0.01, -6.24), Velocity, 2924.677, Acceleration, 72617.59, AngleX, -0.05137866, AngleY, 47.74154, AngleZ, 90.05655
Time, 10.29202, Position, (5.55, 0.01, -5.94), Velocity, 2315.844, Acceleration, 35221.41, AngleX, -0.05279986, AngleY, 47.74133, AngleZ, 90.05811
Time, 10.39256, Position, (5.82, 0.01, -5.65), Velocity, 2607.798, Acceleration, 42468.75, AngleX, -0.05745118, AngleY, 47.74265, AngleZ, 90.06323
Time, 10.49404, Position, (6.10, 0.01, -5.35), Velocity, 2356.628, Acceleration, 6611.608, AngleX, -0.05973813, AngleY, 47.741, AngleZ, 90.06574
Time, 10.59573, Position, (6.37, 0.01, -5.04), Velocity, 2238.003, Acceleration, -9443.931, AngleX, -0.06400845, AngleY, 47.74202, AngleZ, 90.07045
Time, 10.69715, Position, (6.64, 0.01, -4.74), Velocity, 2127.231, Acceleration, -17080.59, AngleX, -0.06923114, AngleY, 47.74265, AngleZ, 90.0762
Time, 10.79929, Position, (6.92, 0.00, -4.44), Velocity, 1566.989, Acceleration, -106725.1, AngleX, -0.07159292, AngleY, 47.74398, AngleZ, 90.0788
Time, 10.90123, Position, (7.19, 0.01, -4.14), Velocity, 1817.271, Acceleration, -10794.17, AngleX, -0.081036, AngleY, 47.74257, AngleZ, 90.0892
Time, 11.004, Position, (7.47, 0.01, -3.84), Velocity, 1340.125, Acceleration, -88620.3, AngleX, -0.08884478, AngleY, 47.74348, AngleZ, 90.09779
Time, 11.10516, Position, (7.74, 0.01, -3.54), Velocity, 1242.924, Acceleration, -94478.09, AngleX, -0.09456784, AngleY, 47.74366, AngleZ, 90.10409
Time, 11.2059, Position, (8.01, 0.00, -3.24), Velocity, 1076.432, Acceleration, -71976.23, AngleX, -0.1019515, AngleY, 47.74549, AngleZ, 90.11222
Time, 11.30831, Position, (8.29, 0.01, -2.93), Velocity, 1259.704, Acceleration, 59858.43, AngleX, -0.119868, AngleY, 47.74385, AngleZ, 90.13194
Time, 11.41418, Position, (8.57, 0.00, -2.62), Velocity, 128.8111, Acceleration, -38489.84, AngleX, -0.1338059, AngleY, 47.74592, AngleZ, 90.14729
Time, 11.5165, Position, (8.85, 0.00, -2.32), Velocity, 866.7379, Acceleration, -8177.533, AngleX, -0.1478256, AngleY, 47.74777, AngleZ, 90.16273
Time, 11.61783, Position, (9.12, 0.00, -2.02), Velocity, 705.5977, Acceleration, 506.2596, AngleX, -0.178341, AngleY, 47.74784, AngleZ, 90.19633
Time, 11.71799, Position, (9.39, 0.00, -1.72), Velocity, 590.7562, Acceleration, -15067.23, AngleX, -0.2330718, AngleY, 47.7482, AngleZ, 90.25658
Time, 11.81986, Position, (9.66, 0.00, -1.42), Velocity, 440.7177, Acceleration, -4526.837, AngleX, -0.3042651, AngleY, 47.75197, AngleZ, 90.33499
Time, 11.92239, Position, (9.94, 0.00, -1.12), Velocity, 262.5828, Acceleration, -15337.14, AngleX, -0.4613223, AngleY, 47.75576, AngleZ, 90.50798
Time, 12.02347, Position, (10.21, 0.00, -0.82), Velocity, 138.0027, Acceleration, -6454.292, AngleX, -0.879003, AngleY, 47.76549, AngleZ, 90.96822
Time, 12.12494, Position, (10.48, 0.00, -0.52), Velocity, 11.33393, Acceleration, -1343.541, AngleX, -7.604594, AngleY, 47.9482, AngleZ, 98.41915
Time, 12.22651, Position, (10.88, 0.01, -0.48), Velocity, 6864.707, Acceleration, 122766.1, AngleX, -0.3914842, AngleY, 2.290544, AngleZ, 90.01566
Time, 12.32865, Position, (11.29, 0.01, -0.47), Velocity, 9033.511, Acceleration, 318887.9, AngleX, -0.3446372, AngleY, 2.290585, AngleZ, 90.01379
Time, 12.42998, Position, (11.69, 0.00, -0.45), Velocity, 8779.578, Acceleration, 138693.5, AngleX, -0.2973682, AngleY, 2.29066, AngleZ, 90.01189
Time, 12.53066, Position, (12.09, 0.00, -0.44), Velocity, 8835.996, Acceleration, 188288.6, AngleX, -0.2496078, AngleY, 2.290533, AngleZ, 90.00998
Time, 12.63216, Position, (12.50, 0.00, -0.42), Velocity, 8370.059, Acceleration, 252704.4, AngleX, -0.2012204, AngleY, 2.290573, AngleZ, 90.00805
Time, 12.73262, Position, (12.90, 0.00, -0.40), Velocity, 7948.63, Acceleration, -39330.18, AngleX, -0.1710211, AngleY, 2.290676, AngleZ, 90.00684
Time, 12.83486, Position, (13.31, 0.00, -0.39), Velocity, 8317.425, Acceleration, 252702.8, AngleX, -0.2057584, AngleY, 2.290584, AngleZ, 90.00823
Time, 12.93801, Position, (13.72, 0.00, -0.37), Velocity, 6192.267, Acceleration, -184633, AngleX, -0.2488518, AngleY, 2.290601, AngleZ, 90.00996
Time, 13.04063, Position, (14.13, 0.00, -0.35), Velocity, 7868.916, Acceleration, 264899.6, AngleX, -0.3247428, AngleY, 2.290472, AngleZ, 90.01299
Time, 13.14248, Position, (14.54, 0.01, -0.34), Velocity, 7809.485, Acceleration, 148173.3, AngleX, -0.3591497, AngleY, 2.290553, AngleZ, 90.01437
Time, 13.24357, Position, (14.94, 0.00, -0.32), Velocity, 6741.346, Acceleration, -244730.6, AngleX, -0.3457424, AngleY, 2.290588, AngleZ, 90.01382
Time, 13.34441, Position, (15.35, 0.01, -0.31), Velocity, 6215.472, Acceleration, -314573.4, AngleX, -0.3627607, AngleY, 2.290411, AngleZ, 90.01451
Time, 13.44699, Position, (15.76, 0.01, -0.29), Velocity, 7449.138, Acceleration, 331774.5, AngleX, -0.3767916, AngleY, 2.290449, AngleZ, 90.01507
Time, 13.54852, Position, (16.16, 0.01, -0.27), Velocity, 6935.007, Acceleration, 298385.5, AngleX, -0.3837055, AngleY, 2.290592, AngleZ, 90.01535
Time, 13.65137, Position, (16.57, 0.01, -0.26), Velocity, 6550.691, Acceleration, -134929.2, AngleX, -0.386671, AngleY, 2.290652, AngleZ, 90.01546
Time, 13.75304, Position, (16.98, 0.01, -0.24), Velocity, 6703.846, Acceleration, -10668.87, AngleX, -0.3916869, AngleY, 2.290252, AngleZ, 90.01566
Time, 13.85384, Position, (17.38, 0.01, -0.22), Velocity, 6225.688, Acceleration, -245126.9, AngleX, -0.4072904, AngleY, 2.29032, AngleZ, 90.0163
Time, 13.95452, Position, (17.78, 0.01, -0.21), Velocity, 6170.239, Acceleration, -109808.8, AngleX, -0.4204075, AngleY, 2.290536, AngleZ, 90.01682
Time, 14.05725, Position, (18.19, 0.01, -0.19), Velocity, 6309.692, Acceleration, 333153.1, AngleX, -0.4189407, AngleY, 2.290312, AngleZ, 90.01676
Time, 14.15993, Position, (18.61, 0.01, -0.18), Velocity, 6216.235, Acceleration, -22467.36, AngleX, -0.4325435, AngleY, 2.290268, AngleZ, 90.0173
Time, 14.26214, Position, (19.01, 0.01, -0.16), Velocity, 5784.508, Acceleration, -159817.7, AngleX, -0.4515607, AngleY, 2.290556, AngleZ, 90.01806
