Time, 5.197749, Position, (-1.27, 0.01, -12.34), Velocity, 1166.152, Acceleration, 35475.38, AngleX, -179.8466, AngleY, -94.24621, AngleZ, -92.06476, AngularSpeed, 120.8147
Time, 5.299626, Position, (-1.25, 0.01, -12.23), Velocity, 1173.435, Acceleration, -6317.321, AngleX, -179.8806, AngleY, -94.42859, AngleZ, -91.54074, AngularSpeed, 105.0654
Time, 5.400599, Position, (-1.22, 0.00, -12.06), Velocity, 1157.826, Acceleration, -11894.69, AngleX, -179.9175, AngleY, -94.65772, AngleZ, -91.01201, AngularSpeed, 83.41561
Time, 5.502051, Position, (-1.21, 0.01, -12.03), Velocity, 1234.346, Acceleration, 12699.77, AngleX, -179.9085, AngleY, -94.80934, AngleZ, -91.08792, AngularSpeed, 73.40234
Time, 5.605083, Position, (-1.20, 0.01, -12.05), Velocity, 1098.732, Acceleration, -37489.81, AngleX, -179.9142, AngleY, -94.92024, AngleZ, -90.99598, AngularSpeed, 54.90035
Time, 5.707067, Position, (-1.20, 0.01, -12.10), Velocity, 1205.536, Acceleration, 56115.45, AngleX, -179.9073, AngleY, -95.00055, AngleZ, -91.05961, AngularSpeed, 53.09341
Time, 5.808185, Position, (-1.21, 0.01, -12.19), Velocity, 1253.31, Acceleration, 56108.29, AngleX, -179.9055, AngleY, -95.05541, AngleZ, -91.06811, AngularSpeed, 48.77299
Time, 5.90964, Position, (-1.22, 0.01, -12.32), Velocity, 1107.944, Acceleration, -20789.43, AngleX, -179.896, AngleY, -95.08977, AngleZ, -91.16791, AngularSpeed, 41.00251
Time, 6.011886, Position, (-1.23, 0.01, -12.48), Velocity, 1095.245, Acceleration, 6796.893, AngleX, -179.8908, AngleY, -95.10973, AngleZ, -91.22089, AngularSpeed, 37.73144
Time, 6.114096, Position, (-1.25, 0.01, -12.69), Velocity, 958.6661, Acceleration, -22963.47, AngleX, -179.8914, AngleY, -95.12029, AngleZ, -91.2123, AngularSpeed, 31.4012
Time, 6.216172, Position, (-1.27, 0.01, -12.94), Velocity, 934.7463, Acceleration, -748.5198, AngleX, -179.8692, AngleY, -95.12528, AngleZ, -91.45826, AngularSpeed, 30.33884
Time, 6.316723, Position, (-1.29, 0.01, -13.21), Velocity, 825.243, Acceleration, -3762.807, AngleX, -179.852, AngleY, -95.13362, AngleZ, -91.64671, AngularSpeed, 26.46551
Time, 6.41844, Position, (-1.32, 0.00, -13.53), Velocity, 531.3231, Acceleration, 6610.988, AngleX, -179.8669, AngleY, -95.15089, AngleZ, -91.47652, AngularSpeed, 14.94828
Time, 6.520066, Position, (-1.35, 0.00, -13.89), Velocity, 563.7181, Acceleration, -6605.383, AngleX, -179.8343, AngleY, -95.1836, AngleZ, -91.82605, AngularSpeed, 15.29711
Time, 6.620483, Position, (-1.39, 0.01, -14.29), Velocity, 386.594, Acceleration, -8065.14, AngleX, -179.7152, AngleY, -95.23148, AngleZ, -93.10696, AngularSpeed, 10.75118
Time, 6.721058, Position, (-1.43, 0.01, -14.73), Velocity, 276.3546, Acceleration, 4153.3, AngleX, -179.6284, AngleY, -95.30124, AngleZ, -93.99879, AngularSpeed, 6.949219
Time, 6.822617, Position, (-1.47, 0.01, -15.21), Velocity, 110.0082, Acceleration, -982.7347, AngleX, -178.7091, AngleY, -95.55651, AngleZ, -103.0413, AngularSpeed, 7.194886
Time, 6.9248, Position, (-1.53, 0.01, -15.38), Velocity, 303.7611, Acceleration, -7660.999, AngleX, -0.5301958, AngleY, 88.07207, AngleZ, 105.3715, AngularSpeed, 77.75373
Time, 7.026021, Position, (-1.56, 0.01, -15.08), Velocity, 205.654, Acceleration, 1917.124, AngleX, -1.246094, AngleY, 84.5593, AngleZ, 102.8645, AngularSpeed, 16.75831
Time, 7.128872, Position, (-1.56, 0.01, -14.76), Velocity, 95.40515, Acceleration, 2278.96, AngleX, -1.636937, AngleY, 76.95643, AngleZ, 97.03223, AngularSpeed, 44.15701
Time, 7.230085, Position, (-1.45, 0.01, -14.44), Velocity, 495.1878, Acceleration, -1598.429, AngleX, -0.4651253, AngleY, 44.47635, AngleZ, 90.4567, AngularSpeed, 1333.767
Time, 7.33201, Position, (-1.20, 0.02, -14.13), Velocity, 329.1228, Acceleration, -6562.478, AngleX, -1.694651, AngleY, 42.08261, AngleZ, 91.53038, AngularSpeed, 941.9871
Time, 7.433371, Position, (-0.92, 0.01, -13.84), Velocity, 200.7992, Acceleration, -4287.22, AngleX, -1.770517, AngleY, 39.13214, AngleZ, 91.44067, AngularSpeed, 611.3016
Time, 7.533736, Position, (-0.59, 0.00, -13.55), Velocity, 41.79573, Acceleration, -1585.602, AngleX, -4.953994, AngleY, 27.78036, AngleZ, 92.61449, AngularSpeed, 138.6039
