Time, 5.882525, Position, (1.84, 0.01, -9.91), Velocity, 7.455405, Acceleration, 1.304838, AngleX, 0.1678485, AngleY, 47.63123, AngleZ, 89.81599, AngularSpeed, 32.30404
Time, 5.98474, Position, (2.35, 0.01, -9.35), Velocity, 7.47226, Acceleration, 0.1649048, AngleX, 0.0007183302, AngleY, 47.65692, AngleZ, 89.99921, AngularSpeed, 35.42686
Time, 6.085274, Position, (2.87, 0.01, -8.78), Velocity, 7.654488, Acceleration, 1.812589, AngleX, -0.02883648, AngleY, 47.61412, AngleZ, 90.0316, AngularSpeed, 39.63296
Time, 6.186772, Position, (3.40, 0.01, -8.21), Velocity, 7.661768, Acceleration, 0.07172891, AngleX, 0.01808736, AngleY, 47.29702, AngleZ, 89.9804, AngularSpeed, 43.18639
Time, 6.287861, Position, (3.93, 0.01, -7.63), Velocity, 7.764587, Acceleration, 1.017113, AngleX, 0.2131078, AngleY, 47.32816, AngleZ, 89.76883, AngularSpeed, 47.09312
Time, 6.388611, Position, (4.47, 0.01, -7.05), Velocity, 7.827794, Acceleration, 0.6273634, AngleX, 0.01921035, AngleY, 47.20447, AngleZ, 89.97926, AngularSpeed, 50.57324
Time, 6.490191, Position, (5.01, 0.01, -6.47), Velocity, 7.849479, Acceleration, 0.2134733, AngleX, 0.08564667, AngleY, 47.35505, AngleZ, 89.90701, AngularSpeed, 53.20468
Time, 6.590872, Position, (5.55, 0.01, -5.87), Velocity, 8.006628, Acceleration, 1.560874, AngleX, -0.06213067, AngleY, 47.36212, AngleZ, 90.06748, AngularSpeed, 56.05891
Time, 6.693361, Position, (6.11, 0.01, -5.27), Velocity, 7.966611, Acceleration, -0.3904465, AngleX, 0.01928318, AngleY, 47.37447, AngleZ, 89.97905, AngularSpeed, 56.54847
Time, 6.795657, Position, (6.66, 0.01, -4.66), Velocity, 8.064856, Acceleration, 0.9603925, AngleX, 0.06671759, AngleY, 47.37083, AngleZ, 89.92752, AngularSpeed, 56.8746
