Time, 7.448005, Position, (7.72, 0.01, -3.46), Velocity, 5.676758, Acceleration, -3541.403, AngleX, -0.1560086, AngleY, 46.86715, AngleZ, 90.16653, AngularSpeed, 25.52395
Time, 7.54972, Position, (8.26, 0.01, -2.89), Velocity, 4.346565, Acceleration, -27.1939, AngleX, -0.2164542, AngleY, 46.85888, AngleZ, 90.23097, AngularSpeed, 23.4558
Time, 7.6525, Position, (8.81, 0.01, -2.31), Velocity, 3.809792, Acceleration, -805.3785, AngleX, -0.2627583, AngleY, 46.84177, AngleZ, 90.28022, AngularSpeed, 22.14705
Time, 7.757589, Position, (9.36, 0.01, -1.71), Velocity, 1.155985, Acceleration, -236.2554, AngleX, -0.3822409, AngleY, 46.81511, AngleZ, 90.40726, AngularSpeed, 20.25556
Time, 7.858383, Position, (9.91, 0.01, -1.13), Velocity, 3.216316, Acceleration, -553.8749, AngleX, -0.680627, AngleY, 46.78292, AngleZ, 90.72436, AngularSpeed, 18.33551
Time, 7.960914, Position, (10.53, 0.01, -0.51), Velocity, 30.34108, Acceleration, 8631.039, AngleX, -0.4240846, AngleY, 2.307293, AngleZ, 90.01708, AngularSpeed, 0
Time, 8.062699, Position, (11.24, 0.01, -0.23), Velocity, 26.65948, Acceleration, 6998.584, AngleX, -0.7613035, AngleY, 1.722391, AngleZ, 90.0229, AngularSpeed, 6.104558
Time, 8.163798, Position, (11.95, 0.01, 0.03), Velocity, 3.623541, Acceleration, -8075.395, AngleX, -1.092961, AngleY, 1.136815, AngleZ, 90.02169, AngularSpeed, 0
Time, 8.265744, Position, (12.69, 0.01, 0.24), Velocity, 3.458543, Acceleration, -6861.999, AngleX, -2.096443, AngleY, 0.6634212, AngleZ, 90.02428, AngularSpeed, 0
Time, 8.366484, Position, (13.43, 0.01, 0.40), Velocity, 4.501869, Acceleration, 354.7624, AngleX, -4.922463, AngleY, 0.2507471, AngleZ, 90.02159, AngularSpeed, 0
Time, 8.46805, Position, (14.19, 0.01, 0.52), Velocity, 4.360825, Acceleration, 243.3564, AngleX, -158.5334, AngleY, -0.06319696, AngleZ, 90.02485, AngularSpeed, 0
Time, 8.570232, Position, (14.97, 0.01, 0.61), Velocity, 3.660248, Acceleration, -275.8842, AngleX, -176.1289, AngleY, -0.30988, AngleZ, 90.02097, AngularSpeed, 0
Time, 8.671073, Position, (15.74, 0.01, 0.67), Velocity, 4.769778, Acceleration, 347.9249, AngleX, -176.9988, AngleY, -0.4856041, AngleZ, 90.02546, AngularSpeed, 0
Time, 8.772955, Position, (16.53, 0.01, 0.70), Velocity, 3.843813, Acceleration, 59.83224, AngleX, -177.7737, AngleY, -0.6051196, AngleZ, 90.02353, AngularSpeed, 0
Time, 8.873486, Position, (17.32, 0.01, 0.72), Velocity, 4.122485, Acceleration, -184.4837, AngleX, -177.9341, AngleY, -0.6984342, AngleZ, 90.0252, AngularSpeed, 0
Time, 8.974851, Position, (18.12, 0.01, 0.73), Velocity, 3.892346, Acceleration, -94.536, AngleX, -178.1212, AngleY, -0.7677875, AngleZ, 90.02518, AngularSpeed, 0
Time, 9.074941, Position, (18.92, 0.01, 0.74), Velocity, 4.714347, Acceleration, 377.1676, AngleX, -178.09, AngleY, -0.8232006, AngleZ, 90.02745, AngularSpeed, 0
Time, 9.177135, Position, (19.73, 0.01, 0.74), Velocity, 4.592586, Acceleration, 394.163, AngleX, -178.1082, AngleY, -0.8645865, AngleZ, 90.02856, AngularSpeed, 0
Time, 9.279404, Position, (20.55, 0.01, 0.74), Velocity, 4.455666, Acceleration, 375.3074, AngleX, -177.982, AngleY, -0.9008157, AngleZ, 90.03175, AngularSpeed, 0
Time, 9.381943, Position, (21.46, 0.01, 0.73), Velocity, 28.92985, Acceleration, 7211.403, AngleX, -177.983, AngleY, -0.9321743, AngleZ, 90.03283, AngularSpeed, 0
Time, 9.484831, Position, (22.29, 0.01, 0.72), Velocity, 4.220573, Acceleration, -6738.238, AngleX, -177.851, AngleY, -0.9578143, AngleZ, 90.03594, AngularSpeed, 0
Time, 9.586588, Position, (23.13, 0.01, 0.71), Velocity, 4.689445, Acceleration, 185.6309, AngleX, -177.8052, AngleY, -0.982167, AngleZ, 90.03764, AngularSpeed, 0
Time, 9.688302, Position, (23.97, 0.01, 0.70), Velocity, 5.184279, Acceleration, 664.2812, AngleX, -177.5097, AngleY, -1.003011, AngleZ, 90.04362, AngularSpeed, 0
Time, 9.789057, Position, (24.81, 0.01, 0.69), Velocity, 4.744522, Acceleration, 441.2517, AngleX, -177.3536, AngleY, -1.011836, AngleZ, 90.04678, AngularSpeed, 0
Time, 9.890292, Position, (25.66, 0.01, 0.67), Velocity, 3.571665, Acceleration, -327.9895, AngleX, -176.8736, AngleY, -1.017086, AngleZ, 90.05556, AngularSpeed, 8.41039
Time, 9.992356, Position, (26.52, 0.01, 0.66), Velocity, 3.998236, Acceleration, -7.20896, AngleX, -177.2272, AngleY, -1.024865, AngleZ, 90.04964, AngularSpeed, 0
Time, 10.09293, Position, (27.38, 0.01, 0.65), Velocity, 3.679528, Acceleration, -526.0361, AngleX, -176.5829, AngleY, -1.035945, AngleZ, 90.06187, AngularSpeed, 0
Time, 10.19487, Position, (28.24, 0.01, 0.63), Velocity, 3.380564, Acceleration, -342.7136, AngleX, -176.2783, AngleY, -1.039635, AngleZ, 90.06763, AngularSpeed, 0
Time, 10.2963, Position, (29.12, 0.01, 0.62), Velocity, 3.256426, Acceleration, -372.7922, AngleX, -175.6103, AngleY, -1.050534, AngleZ, 90.08066, AngularSpeed, 0
Time, 10.3981, Position, (29.99, 0.01, 0.60), Velocity, 4.02278, Acceleration, -47.93342, AngleX, -175.2089, AngleY, -1.058269, AngleZ, 90.08871, AngularSpeed, 0
Time, 10.50095, Position, (30.98, 0.01, 0.58), Velocity, 37.49438, Acceleration, 11515.45, AngleX, -174.7515, AngleY, -1.06573, AngleZ, 90.09792, AngularSpeed, 0
Time, 10.60358, Position, (31.87, 0.01, 0.57), Velocity, 3.675164, Acceleration, -10792.34, AngleX, -173.2696, AngleY, -1.101377, AngleZ, 90.12999, AngularSpeed, 6.310705
Time, 10.70459, Position, (32.76, 0.01, 0.55), Velocity, 3.642271, Acceleration, -11265.66, AngleX, -171.6142, AngleY, -1.09609, AngleZ, 90.1616, AngularSpeed, 0
Time, 10.80609, Position, (33.66, 0.01, 0.54), Velocity, 3.686408, Acceleration, -10320.24, AngleX, -166.6138, AngleY, -1.113761, AngleZ, 90.26508, AngularSpeed, 0
Time, 10.90746, Position, (34.57, 0.01, 0.52), Velocity, 3.587919, Acceleration, 5.284526, AngleX, -155.3566, AngleY, -1.168977, AngleZ, 90.53633, AngularSpeed, 0
